policy,step,accepted,dt,iterations,interface_residual,energy_ratio,a_x,a_v,b_x,b_v
explicit_CSS,1,true,1.00000000000000002e-2,1,4.00100000000000011e-1,7.37567208200000102e-1,5.99899999999999989e-1,-4.00099999999999980e1,-6.79920000000000080e-1,3.20079999999999956e1
explicit_CSS,2,true,1.00000000000000002e-2,1,6.56123989999999990e-1,7.93331247600940759e-1,-5.62239900000000015e-2,-6.56123989999999964e1,-2.35032806000000039e-1,4.44887194000000008e1
explicit_CSS,3,true,1.00000000000000002e-2,1,6.91880130800999971e-1,9.27584201598628866e-1,-7.48104120800999972e-1,-6.91880130800999922e1,1.07263628320399984e-1,3.42296434320399996e1
explicit_CSS,4,true,1.00000000000000002e-2,1,5.20731770564639707e-1,8.65244517346939968e-1,-1.26883589136563968e0,-5.20731770564639831e1,1.74329432340760038e-1,6.70658040203600336e0
implicit_Picard,1,true,1.00000000000000002e-2,14,3.27761817686678114e-10,7.22180562481781751e-1,6.66583333387960275e-1,-3.33416666612039663e1,-6.66583333387960275e-1,3.33416666612039663e1
implicit_Picard,2,true,1.00000000000000002e-2,14,4.91615526065913855e-10,6.52804417410615234e-1,1.66486118219427381e-1,-5.00097215168532898e1,-1.66486118219427381e-1,5.00097215168532898e1
implicit_Picard,3,true,1.00000000000000002e-2,14,4.64247418285879121e-10,6.50922939933197831e-1,-3.05770807593302885e-1,-4.72256925812730231e1,3.05770807593302885e-1,4.72256925812730231e1
implicit_Picard,4,true,1.00000000000000002e-2,14,2.86652923620067668e-10,5.69370786994709110e-1,-5.97369162291068845e-1,-2.91598354697765991e1,5.97369162291068845e-1,2.91598354697765991e1
relaxed_Picard,1,true,1.00000000000000002e-2,12,7.03863411999350319e-10,7.22180562539122994e-1,6.66583333216022700e-1,-3.33416666783977220e1,-6.66583333216022700e-1,3.33416666783977220e1
relaxed_Picard,2,true,1.00000000000000002e-2,13,1.68917796417034083e-10,6.52804417778168666e-1,1.66486117851446513e-1,-5.00097215364576186e1,-1.66486117851446513e-1,5.00097215364576186e1
relaxed_Picard,3,true,1.00000000000000002e-2,12,9.96963789301474890e-10,6.50922941002983646e-1,-3.05770808245497405e-1,-4.72256926096943914e1,3.05770808245497405e-1,4.72256926096943914e1
relaxed_Picard,4,true,1.00000000000000002e-2,12,6.15582140817139134e-10,5.69370788224188962e-1,-5.97369163113028012e-1,-2.91598354867530674e1,5.97369163113028012e-1,2.91598354867530674e1
adaptive_retry,1,false,2.00000000000000004e-2,14,8.79829204546359600e-2,1.00000000000000000e0,1.00000000000000000e0,0.00000000000000000e0,-1.00000000000000000e0,0.00000000000000000e0
adaptive_retry,1,true,1.00000000000000002e-2,14,3.27761817686678114e-10,7.22180562481781751e-1,6.66583333387960275e-1,-3.33416666612039663e1,-6.66583333387960275e-1,3.33416666612039663e1
adaptive_retry,2,true,1.00000000000000002e-2,14,4.91615526065913855e-10,6.52804417410615234e-1,1.66486118219427381e-1,-5.00097215168532898e1,-1.66486118219427381e-1,5.00097215168532898e1
adaptive_retry,3,true,1.00000000000000002e-2,14,4.64247418285879121e-10,6.50922939933197831e-1,-3.05770807593302885e-1,-4.72256925812730231e1,3.05770807593302885e-1,4.72256925812730231e1
adaptive_retry,4,true,1.00000000000000002e-2,14,2.86652923620067668e-10,5.69370786994709110e-1,-5.97369162291068845e-1,-2.91598354697765991e1,5.97369162291068845e-1,2.91598354697765991e1
